year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2012;;land_area;Land area;km2;;;;Benguet;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Baguio City;;57,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Kalinga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tabuk City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;57,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ilocos Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Laoag City;;127,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Batac City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ilocos Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Candon City;;103,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Vigan City;;11,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;La Union;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Fernando City;;109,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pangasinan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Alaminos City;;137,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Dagupan City;;37,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Carlos City;;169,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Urdaneta City;;121,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;815,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cagayan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tuguegarao City;;114,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Isabela;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cauayan City;;336,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Santiago City;;255,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;705,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bataan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Balanga City;;135,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bulacan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Malolos City;;67,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Meycauyan City;;22,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Jose del Monte;;165,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Nueva Ecija;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cabanatuan City;;252,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Gapan City;;185,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Palayan City;;45,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Jose City;;187,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Science City of Muñoz;;163,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pampanga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Angeles City;;66,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Fernando City;;67,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tarlac;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tarlac City;;425,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Zambales;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Olongapo City;;170,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1954,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Batangas;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Batangas City;;283,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lipa City;;229,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tanauan City;;147,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cavite;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cavite City;;24,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Dasmariñas City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tagaytay City;;66,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Trece Martires City;;49,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Laguna;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Binañ City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Calamba City;;144,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Pablo City;;197,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sta. Rosa City;;39,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Quezon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lucena City;;83,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tayabas City;;301,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Rizal;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Antipolo City;;306,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1872,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Oriental Mindoro;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Calapan City;;215,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Palawan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Puerto Princesa;;2400,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;2615,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Albay;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Legazpi City;;204,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ligao City;;308,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tabaco City;;117,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Camarines Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Iriga City;;174,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Naga City;;84,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Masbate;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Masbate City;;249,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sorsogon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sorsogon City;;338,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1476,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Capiz;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Roxas City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Iloilo;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Iloilo City;;56,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Passi City;;251,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Negros Occ.;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bacolod City;;161,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bago City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cadiz City;;515,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Escalante City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Himamaylan City;;363,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Kabankalan City;;726,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;La Carlota City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sagay City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Carlos City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Silay City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sipalay City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Talisay City;;42,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Victorias City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;2116,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bohol;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tagbilaran City;;32,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cebu;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bogo City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Carcar City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cebu City;;291,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Danao City;;107,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lapu-Lapu City;;64,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Mandaue City;;34,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Naga City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Talisay City;;42,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Toledo City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Negros Oriental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bais City;;316,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bayawan City;;699,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Canlaon City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Dumaguete City;;34,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Guihulngan City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tanjay City;;478,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;2101,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Eastern Samar;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Borongan City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Leyte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Baybay City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ormoc City;;490,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tacloban City;;201,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Southern Leyte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Maasin City;;211,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Western Samar;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Calbayog City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Catbalogan City;;274,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1178,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Zamboanga del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Dapitan City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Dipolog City;;136,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Isabela City;;223,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Zamboanga del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pagadian City;;333,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Zamboanga City;;1483,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;2177,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bukidnon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Malaybalay City;;984,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Valencia City;;607,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lanao del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Iligan City;;813,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Misamis Occidental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Oroquieta City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ozamis City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tangub City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Misamis Oriental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cagayan de Oro City;;488,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;El Salvador City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Gingoog City;;649,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;3543,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Davao del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Is. Garden City of;;201,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Panabo City;;251,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tagum City;;192,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Davao del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Davao City;;2444,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Digos City;;287,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Davao Oriental;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Mati City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;3375,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;North Cotabato;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Kidapawan City;;340,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sarangani;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cotabato City;;176,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;South Cotabato;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Gen. Santos City;;492,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Koronadal City;;277,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Sultan Kudarat;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tacurong City;;400,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1685,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Agusan del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Butuan City;;817,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cabadbaran City;;252,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Agusan del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bayugan City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Surigao del Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Surigao City;;245,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Surigao del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bislig City;;488,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tandag City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1804,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Basilan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lamitan City;;354,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lanao del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Marawi City;;87,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;442,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Caloocan City;;53,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Las Piñas City;;41,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Makati City;;27,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Malabon City;;19,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Mandaluyong City;;21,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Manila;;38,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Marikina City;;21,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Muntinlupa;;46,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Navotas City;;10,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Parañaque;;47,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pasay;;19,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pasig City;;31,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Quezon City;;166,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Juan City;;5,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Taguig;;47,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Valenzuela;;47,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines